"ловить рыбу на удочку";"abfischen | akk
haben abgefischt
fischte ab"
"изображать";"abbilden | akk
haben abgebildet
bildete ab"
"сгибать";"abbiegen | akk,
haben abgebogen
bog ab"
"сплющивать";"abflachen | akk
haben abgeflacht
flachte ab"
"сдавать";"abgeben | akk
haben abgegeben
gab ab"
"размежёвывать";"abgrenzen | akk, von Dat
haben abgegrenzt
grenzte ab"
"метать икру";"ablaichen |
haben abgelaicht
laichte ab"
"сливать";"ablassen | akk
haben abgelassen
ließ ab"
"класть";"ablegen | akk
haben abgelegt
legte ab"
"получать";"ableiten | akk, von Dat
haben abgeleitet
leitete ab"
"изнашивать";"abnutzen | akk
haben abgenutzt
nutzte ab"
"срывать";"abpflücken | akk
haben abgepflückt
pflückte ab"
"сбивать";"abschlagen | akk
haben abgeschlagen
schlug ab"
"заканчивать";"abschließen | akk
haben abgeschlossen
schloss ab"
"смещать";"absetzen | akk
haben abgesetzt
setzte ab"
"запирать";"absperren | akk
haben abgesperrt
sperrte ab"
"отмирать";"absterben |
sein abgestorben
starb ab"
"отделять";"abtrennen | akk, von Dat
haben abgetrennt
trennte ab"
"прерывать беременность";"abtreiben |
haben abgetrieben
trieb ab"
"отлавливать на приманку";"abködern | akk
haben abgeködert
köderte ab"
"истекать";"ablaufen |
sein abgelaufen
lief ab"
"снимать";"abnehmen | akk, Dat
haben abgenommen
nahm ab"
"отделять";"abscheiden | akk, von Dat
haben abgeschieden
schied ab"
"торчать";"abstehen | von Dat
haben abgestanden
stand ab"
"вывозить";"abtransportieren | akk
haben abtransportiert
transportierte ab"
"отрастать";"abwachsen |
sein abgewachsen
wuchs ab"
"душить";"abwürgen | akk
haben abgewürgt
würgte ab"
"снимать";"abziehen | akk, Dat
haben abgezogen
zog ab"
"целиться";"abzielen | auf Akk
haben abgezielt
zielte ab"
"отклонять";"ablehnen | akk
haben abgelehnt
lehnte ab"
"смывать";"abschwemmen | akk
haben abgeschwemmt
schwemmte ab"
"предотвращать";"abwehren | akk
haben abgewehrt
wehrte ab"
"акустический";"akustisch |
akustisch
akustisch"
"привязывать";"anbinden | akk, an Akk
haben angebunden
band an"
"другой";"andere |
andere
andere"
"изменяться";"ändern | akk
haben geändert
änderte"
"присваивать";"aneignen | akk, Dat
haben angeeignet
eignete an"
"признавать";"anerkennen | akk,
haben anerkannt
erkannte an"
"увлажнять";"anfeuchten | akk
haben angefeuchtet
feuchtete an"
"предлагать";"anbieten | akk, Dat
haben angeboten
bot an"
"прикреплять";"anbringen | akk, an Akk
haben angebracht
brachte an"
"привязанный";"angebunden |
haben angebunden
band an"
"трогать";"anfassen | akk
haben angefasst
fasste an"
"указанный";"angegeben |
haben angegeben
gab an"
"прикреплять";"anheften | akk, an Akk
haben angeheftet
heftete an"
"высаживать на берег";"anlanden |
sein angelandet
landete an"
"устраивать";"anlegen | akk
haben angelegt
legte an"
"ловить рыбу на удочку";"angeln | akk, nach Dat
haben geangelt
angelte"
"ловить рыбу на удочку";"angeln | nach Dat
haben geangelt
angelte"
"принимать";"annehmen | akk
haben angenommen
nahm an"
"упорядоченный";"angeordnet |
haben angeordnet
ordnete an"
"подгонять";"anpassen | akk, Dat, an Akk
haben angepasst
passte an"
"обогащать";"anreichern | akk, mit Dat
haben angereichert
reichte an"
"устраивать";"anrichten | akk
haben angerichtet
richtete an"
"применять";"anwenden | akk
haben angewendet
wendete an"
"указывать";"anweisen | akk, auf Akk
haben angewiesen
wies an"
"показывать";"anzeigen | akk, Dat
haben angezeigt
zeigte an"
"атаковать";"angreifen | akk
haben angegriffen
griff an"
"прилегающий";"angrenzend |
haben angegriffen
griff an"
"длительный";"anhaltend |
haben angehalten
hielt an"
"прилегающий";"anliegend | an Akk
haben angelegt
legte an"
"поднимающийся";"ansteigend |
sein angestiegen
stieg an"
"богатый видами";"artenreich |
artenreich
artenreich"
"самый богатый видами";"artenreichste |
artenreichste
artenreichste"
"дышать";"atmen |
haben geatmet
atmete"
"хранить";"aufbewahren | akk
haben aufbewahrt
bewahrte auf"
"перечислять";"aufführen | akk
haben aufgeführt
führte auf"
"принимать";"aufnehmen | akk
haben aufgenommen
nahm auf"
"вскрывать";"aufschneiden | akk
haben aufgeschnitten
schnitt auf"
"устанавливать";"aufstellen | akk
haben aufgestellt
stellte auf"
"останавливать";"aufhalten | akk
haben aufgehalten
hielt auf"
"надевать";"aufsetzen | akk
haben aufgesetzt
setzte auf"
"появляться";"auftreten |
sein aufgetreten
trat auf"
"показывать";"aufweisen | akk
haben aufgewiesen
wies auf"
"тратить";"aufwenden | akk, für Akk
haben aufgewendet
wendete auf"
"воспитывать";"aufziehen | akk
haben aufgezogen
zog auf"
"прекращаться";"ausbleiben |
sein ausgeblieben
blieb aus"
"истекать кровью";"ausbluten |
sein ausgeblutet
blutete aus"
"расширять";"ausdehnen | akk
haben ausgedehnt
dehnte aus"
"выполнять";"ausführen | akk
haben ausgeführt
führte aus"
"образовывать";"ausbilden | akk
haben ausgebildet
bildete aus"
"вносить";"ausbringen | akk
haben ausgebracht
brachte aus"
"распростёртый";"ausgebreitet |
haben ausgebreitet
breitete aus"
"выданный";"ausgegeben |
haben ausgegeben
gab aus"
"выкопанный";"ausgegraben |
haben ausgegraben
grub aus"
"исключённый";"ausgenommen | von Dat
haben ausgenommen
nahm aus"
"выраженный";"ausgeprägt |
haben ausgeprägt
prägte aus"
"вырванный";"ausgerissen |
sein ausgerissen
riss aus"
"выделять";"ausscheiden | akk
haben ausgeschieden
schied aus"
"подвергать";"aussetzen | akk, Dat
haben ausgesetzt
setzte aus"
"вымытый";"ausgespült |
haben ausgespült
spülte aus"
"оборудованный";"ausgestattet | mit Dat
haben ausgestattet
stattete aus"
"выставлять";"ausstellen | akk
haben ausgestellt
stellte aus"
"выполнять";"ausüben | akk
haben ausgeübt
übte aus"
"взрослый";"ausgewachsen |
sein ausgewachsen
wuchs aus"
"размытый";"ausgewaschen |
haben ausgewaschen
wusch aus"
"потрошёный";"ausgeweidet |
haben ausgeweidet
weidete aus"
"обозначенный";"ausgewiesen |
haben ausgewiesen
wies aus"
"исключать";"ausnehmen | akk, von Dat
haben ausgenommen
nahm aus"
"выглядящий";"aussehend |
aussehend
aussehend"
"снаружи";"außen |
außen
außen"
"внешний";"äußere |
äußere
äußere"
"сменный";"austauschbar | gegen Akk
austauschbar
austauschbar"
"влиять";"auswirken | akk
haben ausgewirkt
wirkte aus"
"компенсировать";"ausgleichen | akk
haben ausgeglichen
glich aus"
"выдавать";"aushändigen | akk, Dat
haben ausgehändigt
händigte aus"
"исключать";"ausschließen | akk, von Dat
haben ausgeschlossen
schloss aus"
"окунеобразный";"barschartig |
barschartig
barschartig"
"строительный";"baulich |
baulich
baulich"
"строить";"bauen | akk
haben gebaut
baute"
